"","file","mean_rat","sd_rat","cond","rank","cueCol"
"1","11_3.png",2,0,"risk",1,"[1,1,1]"
"2","39_12.png",3,0.45,"risk",2,"[1,1,1]"
"3","129_4.png",4,0,"risk",3,"[1,1,1]"
"4","23_9.png",10,0,"risk",4,"[1,1,1]"
"5","93_26.png",11,0.45,"risk",5,"[1,1,1]"
"6","44_16.png",12,0,"risk",6,"[1,1,1]"
"7","4_13n.png",6,0.89,"zero",99,"[-1,-1,-1]"
