"","file","mean_rat","sd_rat"
"1","129_4.png",2,0.45
"2","27_10.png",3,0
"3","99_28.png",4,0.45
"4","42_14.png",5,0.45
"5","21_8.png",6,0.45
"6","50_18.png",7,0.89
"7","1_1.png",8,0.45
"8","42_14.png",5,0.45
