key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
,,,,,,,,,,,,,,,,,,,20_7.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.079030558,-0.33772392,1,0,0,,,6,0.167000055,,,,,,,20.png,,,,,,,,,,,,,,,,,,,,,1,0,28,6,1,27
,,,,,,,,,,,,,,,,,,,23_9.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.002107482,-0.359852476,1,0,0,,,7,0.160000086,,,,,,,23.png,,,,,,,,,,,,,,,,,,,,,1,0,28,8,1,27
,,,,,,,,,,,,,,,,,,,42_14.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.389884089,-0.319810327,1,0,0,,,3,0.166000128,,,,,,,42.png,,,,,,,,,,,,,,,,,,,,,1,0,28,13,1,27
,,,,,,,,,,,,,,,,,,,39_12.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.305584826,-0.329293994,1,0,0,,,4,0.164000034,,,,,,,39.png,,,,,,,,,,,,,,,,,,,,,1,0,28,11,1,27
,,,,,,,,,,,,,,,,,,,4_13.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.505795574,-0.332455216,1,0,0,,,2,0.164000034,,,,,,,4.png,,,,,,,,,,,,,,,,,,,,,1,0,28,12,1,27
,,,,,,,,,,,,,,,,,,,50_18.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,0.298208641,-0.356691254,1,0,0,,,10,0.167000055,,,,,,,50.png,,,,,,,,,,,,,,,,,,,,,1,0,28,17,1,27
,,,,,,,,,,,,,,,,,,,44_16.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,0.398314015,-0.352476291,1,0,0,,,11,0.17200017,,,,,,,44.png,,,,,,,,,,,,,,,,,,,,,1,0,28,15,1,27
,,,,,,,,,,,,,,,,,,,99_28.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.211801897,-0.341938883,1,0,0,,,5,0.166000128,,,,,,,99.png,,,,,,,,,,,,,,,,,,,,,1,0,28,27,1,27
,,,,,,,,,,,,,,,,,,,74_23.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.480505796,-0.327186512,1,0,0,,,2,0.171000004,,,,,,,74.png,,,,,,,,,,,,,,,,,,,,,1,0,28,22,1,27
,,,,,,,,,,,,,,,,,,,43_15.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.106427819,-0.327186512,1,0,0,,,6,0.162000179,,,,,,,43.png,,,,,,,,,,,,,,,,,,,,,1,0,28,14,1,27
,,,,,,,,,,,,,,,,,,,107_2.png,BR,001,2020-02-03_21h26.36.195,trust_define_RK,3.2.3,Linux x86_64,60,IwAR0ufkhRNlPzGmeRwnS3GFQXb1ffFOhAfkoq168DtsFwO0XzMvnCbdPliys,,,-0.309799789,-0.336670179,1,0,0,,,4,0.164000034,,,,,,,107.png,,,,,,,,,,,,,,,,,,,,,1,0,28,1,1,27
