key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
,,,,,,,,,,,,,,,,,,,129_4.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.489814781,-0.346296309,1,0,0,,,2,0.118999958,,,,,,,129.png,,,,,,,,,,,,,,,,,,,,,1,0,28,3,1,27
,,,,,,,,,,,,,,,,,,,97_27.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.286111102,-0.339814884,1,0,0,,,4,0.114000082,,,,,,,97.png,,,,,,,,,,,,,,,,,,,,,1,0,28,26,1,27
,,,,,,,,,,,,,,,,,,,21_8.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.094444433,-0.336111124,1,0,0,,,6,0.123000145,,,,,,,21.png,,,,,,,,,,,,,,,,,,,,,1,0,28,7,1,27
,,,,,,,,,,,,,,,,,,,50_18.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.002777708,-0.340740753,1,0,0,,,7,0.118000031,,,,,,,50.png,,,,,,,,,,,,,,,,,,,,,1,0,28,17,1,27
,,,,,,,,,,,,,,,,,,,3_11.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.289814749,-0.333333346,1,0,0,,,4,0.130999804,,,,,,,3.png,,,,,,,,,,,,,,,,,,,,,1,0,28,10,1,27
,,,,,,,,,,,,,,,,,,,107_2.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.096296311,-0.350000013,1,0,0,,,8,0.165999889,,,,,,,107.png,,,,,,,,,,,,,,,,,,,,,1,0,28,1,1,27
,,,,,,,,,,,,,,,,,,,1_1.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.096296311,-0.350000013,1,0,0,,,8,0.117000103,,,,,,,1.png,,,,,,,,,,,,,,,,,,,,,1,0,28,0,1,27
,,,,,,,,,,,,,,,,,,,11_3.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.399074067,-0.334259272,1,0,0,,,3,0.122999907,,,,,,,11.png,,,,,,,,,,,,,,,,,,,,,1,0,28,2,1,27
,,,,,,,,,,,,,,,,,,,74_23.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.399074067,-0.334259272,1,0,0,,,3,0.126999855,,,,,,,74.png,,,,,,,,,,,,,,,,,,,,,1,0,28,22,1,27
,,,,,,,,,,,,,,,,,,,88_24.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.200000016,-0.342592605,1,0,0,,,9,0.122999907,,,,,,,88.png,,,,,,,,,,,,,,,,,,,,,1,0,28,23,1,27
,,,,,,,,,,,,,,,,,,,99_28.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.31851851,-0.322222234,1,0,0,,,4,0.116999865,,,,,,,99.png,,,,,,,,,,,,,,,,,,,,,1,0,28,27,1,27
,,,,,,,,,,,,,,,,,,,64_19.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.111111126,-0.345370383,1,0,0,,,8,0.111000061,,,,,,,64.png,,,,,,,,,,,,,,,,,,,,,1,0,28,18,1,27
,,,,,,,,,,,,,,,,,,,43_15.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.111111126,-0.345370383,1,0,0,,,8,0.116999865,,,,,,,43.png,,,,,,,,,,,,,,,,,,,,,1,0,28,14,1,27
,,,,,,,,,,,,,,,,,,,93_26.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.111111126,-0.345370383,1,0,0,,,8,0.125,,,,,,,93.png,,,,,,,,,,,,,,,,,,,,,1,0,28,25,1,27
,,,,,,,,,,,,,,,,,,,47_17.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,-0.412962956,-0.347222235,1,0,0,,,3,0.109999895,,,,,,,47.png,,,,,,,,,,,,,,,,,,,,,1,0,28,16,1,27
,,,,,,,,,,,,,,,,,,,89_25.png,GI,001,2020-02-05_17h14.47.431,trust_define_RK,3.2.3,Win32,60,,,0.209259276,-0.329629642,1,0,0,,,9,0.13499999,,,,,,,89.png,,,,,,,,,,,,,,,,,,,,,1,0,28,24,1,27
