key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,slider.response,slider.rt,slider_2.response,slider_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_2.order,file_name,Initials*,session,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,slider_3.response,slider_3.rt,slider_4.response,slider_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,images,key_resp_2.keys,key_resp_2.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,trials_4.order,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_5.ran,trials_5.order,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,trials_6.ran,trials_6.order
,,,,,,,,,,,,,,,,,,,66_21.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.080555531,-0.365740823,1,0,0,,,6,2.963999987,,,,,,,66.png,,,,,,,,,,,,,,,1,0,28,20,1,27,,,,,,
,,,,,,,,,,,,,,,,,,,65_20.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.088888865,-0.351851934,1,0,0,,,6,0.205999851,,,,,,,65.png,,,,,,,,,,,,,,,1,0,28,19,1,27,,,,,,
,,,,,,,,,,,,,,,,,,,99_28.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.318518502,-0.334259284,1,0,0,,,4,0.203999996,,,,,,,99.png,,,,,,,,,,,,,,,1,0,28,27,1,27,,,,,,
,,,,,,,,,,,,,,,,,,,93_26.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.072222198,-0.34444447,1,0,0,,,6,0.190999985,,,,,,,93.png,,,,,,,,,,,,,,,1,0,28,25,1,27,,,,,,
,,,,,,,,,,,,,,,,,,,39_12.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.301851834,-0.337037062,1,0,0,,,4,0.205999851,,,,,,,39.png,space,1.221999884,,,,,,,,,,,,,,,,,,,1,0,28,11,1,27
,,,,,,,,,,,,,,,,,,,47_17.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.408333319,-0.337963044,1,0,0,,,3,0.207999945,,,,,,,47.png,,,,,,,,,,,,,,,,,,,,,1,0,28,16,1,27
,,,,,,,,,,,,,,,,,,,129_4.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.321296279,-0.340740822,1,0,0,,,4,0.207000017,,,,,,,129.png,,,,,,,,,,,,,,,,,,,,,1,0,28,3,1,27
,,,,,,,,,,,,,,,,,,,11_3.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.479629589,-0.345370396,1,0,0,,,2,0.2099998,,,,,,,11.png,,,,,,,,,,,,,,,,,,,,,1,0,28,2,1,27
,,,,,,,,,,,,,,,,,,,42_14.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.384259244,-0.327777802,1,0,0,,,3,0.205000162,,,,,,,42.png,,,,,,,,,,,,,,,,,,,,,1,0,28,13,1,27
,,,,,,,,,,,,,,,,,,,97_27.png,ND,001,2020-02-11_09h43.20.364,trust_define_RK,3.2.3,Win32,60,IwAR3cVukipiLSTecGVlpXsC1UsM4rKJ6Y3SP6RXy0i9lirhr2FmzkNc8LQFY,,,-0.306481464,-0.341666692,1,0,0,,,4,0.203999996,,,,,,,97.png,,,,,,,,,,,,,,,,,,,,,1,0,28,26,1,27
